,user_names,user_levels,user_stars,omments,create_times,order_infos
10,木***桤,PLUS会员,5,稳。音质一般，低音不够，偏高音。拍照 很棒，防抖很好， 色彩真实。运行速度： 快，8 真心不错。待机时间：充满后待机 长，玩游戏，王者一局基本百分4左右。 處 整体来说， 质量是很不错的，除了音一 般，其它都很棒，买来的新机一定要优化 告都关掉，会好很多。,2022-11-29 21:45,紫色128GB
11,一***羊,PLUS会员,5,"相聯大
稳。音质一般，低音不够，偏高音。拍照
很棒，防抖很好，
色彩真实。运行速度：
快，8 真心不错。待机时间：充满后待机
长，玩游戏，王者一局基本百分4左右。
處
整体来说，
质量是很不错的，除了音一
般，其它都很棒，买来的新机一定要优化
告都关掉，会好很多。
收起",2022-11-29 21:45,紫色128GB
12,m***u,PLUS会员,5,"前置是新的原深感镜头，1.9& mu ; m 像素，支持自动对焦，即使在低亮度环境下也能实现较快的对焦速度，后置依旧依旧采用1200万像素广角／超广角双摄配置，全新的1200万像素主摄像头，传感器更大，单位像素达到1.9& mu ; m , F /1.5光圈，传感器位移 OIS ，低光捕获提高了49%。夜间模式曝光速度提升两倍。视频新增运动防抖模式，动态拍摄更加稳定。用了快半月，没有出现起热，卡顿的现象，对于我不玩游戏的人来说，14挺好的，刚开始买的时候看见评论，各种担心，用了一段时间后感觉很不错，屏幕非常细腻，很好，看上去非常舒服，比一般手机强多了，音效也很高，听歌很舒适，值得推荐。早买早享受！14拍照真的很好看！比13强太多啦，拍视频也绝绝子！很喜欢蓝色！而且电池的使用时间也比之前的机型要棒很多，因为不喜欢新出的灵动岛，所以买了这个标准版，还是这个看起来顺眼。续航能力很好，拍照效果很清晰，运行速度很畅快，非常不错，紫色比较清晰＿靓丽，外形没有多大改变，刘海有较大的变化，摄像头排布没有变化，运行速度挺快，流畅度也没的说，点赞乔布斯公司",2022-11-29 21:45,紫色128GB
13,不***头,PLUS会员,5,"外形外观:我选的是苹果14午夜黑，感觉和13没啥区别，午夜黑也就是黑色，外观简洁大气。
屏幕音效:屏幕显示很清晰，不输国产旗舰，双立体音质也好，声音响亮。
拍照效果:拍照效果很好，很愿意带着iPhone 14出门拍照的，拍人效果不错，拍风景曝光、色彩控制成熟，还有滤镜可以使用。当然，缺点也有，像夜景没有国产旗舰那么强大，像但录像绝对是深得你心。
运行速度: Phone 14采用了'A15满血处理器,装备5核图形处理器，内存增加到6GB，屏幕为6.1英寸OLED, 1170x2532分辨率，60Hz刷新率，8oOnit典型亮度，1200nit峰值亮度。速度很快不输国产旗舰，用五年不成问题。
待机时间: 轻度使用一-天够用其他特色:主摄为1200万，位移防抖，采用更大的c.mOs,单个像素尺寸1.98mu;m,f/1.5大光圈,7P镜问26mm焦距。以及超广角镜头，13mm焦距.前置1200人像素原深感摄像头，支持人脸识别，戴口罩和戴眼镜识别。视频方面，电影效果模式",2022-11-29 21:45,紫色128GB
14,X***雪,PLUS会员,5,外形外观：酷炫的颜@我很喜欢百搭手机壳屏幕音效：很滑触键灵敏音效美可以很大声拍照效果：拍照好看像素高清运行速度：很快下载电影app一下子就好了待机时间：一天去充一次就好了,2022-11-29 21:45,紫色128GB
15,****h,PLUS会员,5,"外形外观：靓丽，简单，舒适，漂亮
屏幕音效：干净清爽，有质感，很震撼
拍照效果：清楚，真切，很好
运行速度：相当可以，至少现在不卡
待机时间：待机时间可以，新机能接受",2022-11-29 21:45,紫色128GB
16,没***9,PLUS会员,5,"苹果的广角拍摄，即使在低亮度环境下也能实现较快的对焦速度，后置依1日依1日采用1200万像素广角/超广角双摄配置，全新的1200 万像
紊主摄像头，传感器更大，单位像索达到1.9 um，F/1.5光圈，传感器位移 OIS，低光捕获提高了49%。夜间模式曝光速度提升两倍。视频新增运动防抖模式，动态拍摄更加稳定。用了快半月，没有出现起热，卡顿的现象，对于我不玩游戏的人来说，14挺好的，刚开始买的时候看见评论，各种担心，用了一段时间后感觉很不错，屏森非常细腻，很好，看上去非常舒服，比一般手机强多了，音效也很高，听歌很舒适，值得推荐。早买早享受！14拍照真的很好看！比13强大多啦，拍视频也绝绝子！很喜欢白色不过时！而目电池的使用时间也比之前的机型要棒很多，因为不玄欢灵动岛，所以买了这个标准版。续航能力很好，拍照效果很清晰，运行速度很畅快，非常不错，午夜色此较清晰…靓丽，外三外观，没有多大改变，刘海屏有较大的交化，摄像头排布没有变化，运行速度挺快，流畅度也没的说，很是满意",2022-11-29 21:45,紫色128GB
17,岳***橙,PLUS会员,5,"外形外观：我选的是苹果14星光白，感觉和13没啥区别，星光白也就是白色，外观简洁大气。
屏幕音效：屏幕显示很清晰，不输国产旗舰，双立体音质也好，声音响亮。
拍照效果：拍照效果很好，很愿意带着iPhone 14出门拍照的，拍人效果不错，拍风景曝光、色彩控制成熟，还有滤镜可以使用。当然，缺点也有，像夜景没有国产旗舰那么强大，像但录像绝对是深得你心，
运行速度：Phone 14采用了A15满血处理器，装备5核图形处理器，内存增加到6GB，屏幕为6.1英寸OLED，1170x2532分辨率，60Hz刷新率，8o0nit典型亮度，1200nit峰值亮度。速度很快不输国产旗舰，用五年不成问题。
待机时间：轻度使用一天够用
其他特色：主摄为1200万，位移防抖，采用更大的c.mOs,单个像素尺寸1.98mu;m,f/1.5大光圈,7P镜问26mm焦距。以及超广角镜头，13mm焦距.前置1200人像素原深感摄像头，支持人脸识别，戴口罩和戴眼镜识别。视频方面，电影效果模式",2022-11-29 21:45,紫色128GB
18,s***r,PLUS会员,3,品质不错，降价后值得拥有,2022-11-29 21:45,紫色128GB
19,清***荷,PLUS会员,5,"外形外观：我选的是苹果14紫，外观简洁大气。
屏幕音效：屏幕显示很清晰，不输国产旗舰，双立体音质也好，声音响亮。
拍照效果：拍照效果很好，很愿意带着iPhone 14出门拍照的，拍人效果不错，拍风景曝光、色彩控制成熟，还有滤镜可以使用。当然，缺点也有，像夜景没有国产旗舰那么强大，像但录像绝对是深得你心，
运行速度：Phone 14采用了A15满血处理器，装备5核图形处理器，内存增加到6GB，屏幕为6.1英寸OLED，1170x2532分辨率，60Hz刷新率，8o0nit典型亮度，1200nit峰值亮度。速度很快不输国产旗舰，用五年不成问题。
待机时间：轻度使用一天够用
其他特色：主摄为1200万，位移防抖，采用更大的c.mOs,单个像素尺寸1.98mu;m,f/1.5大光圈,7P镜问26mm焦距。以及超广角镜头，13mm焦距.前置1200人像素原深感摄像头，支持人脸识别，戴口罩和戴眼镜识别。视频方面，电影效果模式",2022-11-29 21:45,紫色128GB
20,小***也,PLUS会员,5,"屏幕音效：好，很好，非常好，耶耶耶
拍照效果：好，靓
运行速度：快，没话说
外形外观：很丝滑
待机时间：长，比我都要长
其他特色：色，特色，比我还要色。",2022-11-05 02:54,紫色128GB
21,求***4,,5,"外形外观：黑色很耐看
屏幕音效：屏幕显示清晰
拍照效果：拍照清晰，夜间表现也很好
运行速度：运行流畅
待机时间：充电很快，平时一天充一次
其他特色：东家买的很实惠，有保障。
iPhone 14手机很快就拿到了，打开非常的惊喜呀，非常大气的14手机。我买的是128GB的，很好看的手机，午夜色非常的大气，很有感觉的一部手机。外形非常好看，拿在手里也是非常的舒服，手感很好！手机背面是玻璃亮镜面的材质，这种磨砂与亮面的搭配，看上去非常时尚大气，外观看上去很上档次，方正的外观设计给人感觉非常稳重，很经典的设计。不过还有一点就是今年这款iPhonel4的外观设计，跟上一代iPhonel3改变不大。一直就是很喜欢苹果手机，就是因为它的系统流畅，升级的A15处理器有不少的省电提升，还有对5G网络的优化，而且还有20W的快充设计，被称为最强的手机。14的拍照也提升了，拍照很清晰，能够满足日常使用，新加的拍视频电影效果很不错。而且手机的待机时间也提升了，音效也很好，运行速度非常快。各方面都挺好的！",2022-11-05 02:54,紫色128GB
22,****u,PLUS会员,5,"手机外形很漂免流畅益物
肆。仟拿的，
法供中浩；自然点
颜色很正，开机：教活
递等过程星无向頭．利番上车话
卡开机，就有电话送：
晰。试了照相．京儀等功菲
个了。外观很好看
有质感、屏幕看
效果 很不错、像素高了
照片怎么都好看。5G高遠逗行
超长待机一整天．颜合世好看，
白色看起来简单大气，非幕会平
净整洁。运行非
示细腻，给人很舒
且椙机夜景提升",2022-11-05 02:54,紫色128GB
23,****r,PLUS会员,5,"AnTe
升两倍。视频新增远动防抖模式，动态扌
夜间校式曝光速
低光捕殎提高了 49%。
素达到19 um，F/1.5光圈，传感器位移（
1200 万像素主摄像头，传感器更大，单
1200 万像泰广角，超广 角双援記登，
后置依日依日采
能实现较快的对焦速度，
像泰，支持自动对焦，即使在低亮度环項
拍摄方面，前置采用新的原深感镜头，
。
习任务
全新16 核神经网络弓擎，适用于各美机号
5核心 GPU
搭载 A15 芯片，6核心 CPU，
彩显示，屏蔣刷新率依1日为 60Hz®
1200nts 亮康，支持100%DCI-P3 色域以?
显示屏，分辦帝 2532*1970，最高支持
面，iPhone 14 采用6.10LED 超视网膜XD
色、蓝色、午夜色、星光色和红色。屏辯
吉，边缘平坦设计，拥有五种颜色可选择，
iPhone 14 延续子上一代 Phone13的设计语
1星光色；128GB",2022-11-05 02:54,紫色128GB
24,夏***呀,PLUS会员,5,"外观：苹果14星光色，外观很漂亮
音效：屏幕显示很清晰，音质也挺好，声音响亮
拍照：拍照效果很好，拍人效果不错，拍风景曝光、色彩控制成熟，还有滤镜可以使用。
待机：待机一天够用，轻度使用
其他：主摄为1200万，位移防抖，采用更大的CMOS，单个像素尺寸1.9μm，f/1.5大光圈，7P镜头，26mm焦距。以及超广角镜头，13mm焦距。前置1200万像素原深感摄像头，支持人脸识别。视频方面，电影效果模式最高可达4K HDR 30 fps，运动模式最高可达2.8K 60 fps 。",2022-11-05 02:54,紫色128GB
25,u***2,,5,"外观：苹果14夜空黑，外观很漂亮
音效：屏幕显示很清晰，音质也挺好，声音响亮
拍照：拍照效果很好，拍人效果不错，拍风景曝光、色彩控制成熟，还有滤镜可以使用。
待机：待机一天够用，轻度使用
其他：主摄为1200万，位移防抖，采用更大的CMOS，单个像素尺寸1.9μm，f/1.5大光圈，7P镜头，26mm焦距。以及超广角镜头，13mm焦距。前置1200万像素原深感摄像头，支持人脸识别。视频方面，电影效果模式最高可达4K HDR 30 fps，运动模式最高可达2.8K 60 fps 。",2022-11-05 02:54,紫色128GB
26,独***梁,PLUS会员,5,"****
午夜色；256GB
外形外观：美观好看，手感没得说，是我要的质感
屏幕音效：音效不错，音质很清晰，牛
照效果：很强大，清晰，使用很流畅，拍出效果很好
运行速度：很流畅，不卡
待机时间：比之前的13待机长
其他特色：用着很顺手",2022-11-05 02:54,紫色128GB
27,蜀***豆,PLUS会员,5,"外形外观：高端，大气，上档次，一直都喜欢苹果的设计感
屏幕音效：音响效果，移动的音响
拍照效果：像素够高，照片质感很强
运行速度：流畅
待机时间：短
其他特色：紫色很骚气",2022-11-05 02:54,紫色128GB
28,麻***叔,PLUS会员,5,"外形外观：蓝色很秀丽，很可爱，颜值超高
屏幕音效：音效很好，配合我的耳机
拍照效果：很清楚，像素很高
运行速度：快，不卡顿，流畅
待机时间：长，充一次电可以用一天
其他特色：物流很快哦，次日达",2022-11-05 02:54,紫色128GB
29,g***i,PLUS会员,5,"颜色真的是太好看了，因为光线问题，比我拍出来的好看多了，淡淡的紫色恰到好处，是正品，用起来很流畅，
外形外观：很好看
屏幕音效：好
拍照效果：很清晰
运行速度：超快
待机时间：长",2022-11-05 02:54,紫色128GB
30,枣***哥,PLUS会员,5,"手机收到了，挺喜欢的。正常使用1天1充充，或吉两天三充。还很不错。拍照;满足所有的需求,非常清晰。外观很时尚，很精致。
屏幕高清，色彩稳。拍照效果：很棒，防抖很好，色彩真实。运行速度杠杠的，也不卡，非常流畅。",2022-11-25 21:18,紫色128GB
31,杨***1,PLUS会员,5,"手机收到了，挺喜欢的。正常使用1天1充充，或者两天三充。还很不错。拍照:满足所有的需求,非常清晰。外观很时尚，很精致。 屏幕高清，色彩稳。拍照效果：很棒，防抖很好，色彩真实。运行速度杠杠的，也不卡，非常流畅。",2022-11-25 21:18,紫色128GB
32,L***e,PLUS会员,5,"运行速度不错，使用起来不是很烫
待机时间：待机时间够用的
外观设计：风格简约大气上档次。
屏幕大小：尺寸比较合适。屏幕的分辨率比较清晣。颜色是黑色的，比较喜欢。音质效非常不错。听歌听音乐非常舒心。拍照效果特别好。
运行速度特别快。待机时间比较长。玩游戏比较棒。外观很漂亮，系统很流畅，界面很友好，就是文件管理不如安卓方便和个性化。这款手机颜值非常高，苹果手机感觉真的不是安卓手机能比的，系统流畅度太棒了，其他各方面也一样的强，运行非常流畅没有卡顿。显示屏看着很舒服，非常漂亮。手感超好很喜欢。除了运行更流畅之外，它的机身手感也很好超薄。拍照的很像非常的清晰、很好看，屏幕分辨率显示很高，眼睛看着很舒服，音质很好，己经使用好几天了，体验感非常好，没有丝毫的卡顿迹象，运行 APP
都非常流畅。",2022-11-25 21:18,紫色128GB
33,A***D,PLUS会员,5,iPhone14手机收到了，真的很喜欢这款手机。音效屏幕清晰，显示清楚不花屏，超级舒服拍照效果：拍照很清晰呢，再也不怕拍不出好照片运行速度：运行速度也不错，使用起来不是很烫待机时间：待机时间够用的，外观设计风格简约大气上档次。屏幕大小尺寸比较合适。屏幕的分辨率比较清晰。音质效非常不错。听歌听音乐非常舒心。拍照效果特别好。照片儿拍出来比较漂亮。运行速度特别快。待机时间比较长。外观很漂亮，。这款手机颜值非常高，苹果手机感觉真的不是安卓手机能比的，系统流畅度太棒了，其他各方面也一样的强，运行非常流畅没有卡顿。显示屏看着很舒服，非常漂亮。手感超好很喜欢。除了运行更流畅之外，它的机身手感也很好超薄。拍照的很像非常的清晰、很好看，屏幕分辨率显示很高，眼睛看着很舒服，音质很好，已经使用好几天了，体验感非常好，没有丝毫的卡顿迹象，运行 APP 都非常流畅。速度非常完美，尺寸比较合适，续航能力强，配合原装充电器，一个半小时充满电。到货快，好评。,2022-11-25 21:18,紫色128GB
34,瑞***弟,PLUS会员,5,"外观很漂亮，显示很清晰，音质也挺好，声音响亮拍照：拍照效果很好，拍人效果不错，拍风景曝光、色彩控制成熟，还有滤镜可以使用。待机：待机一天够用，轻度使用其他：主摄为1200万，位移防抖，采用更大的 CMOS ，单个像素尺寸1.9um, f /1.5大光圈，7P镜头，26mm焦距。以及超广角镜头，13mm焦距。前置1200万像素原深感摄像头，支持人脸识别。视频方面，电影效果模式最高可达4K HDR 30 fps ，运动模式最高可达2.8K
60 fps 。",2022-11-25 21:18,紫色128GB
35,百***a,PLUS会员,5,"相机大稳。音展一般，低音不路。信高音。盐黑很糖，防耕很好。色考真安。运行港度：快。
真心不借。待机时间：充满后街机长。玩路龙，王者一尾裝本百分化右。应整体菜發，辰量是很不错的，除了音一般，其它都很管。买来名新
机一定要优化 告都关镇，会好很多。",2022-11-25 21:18,紫色128GB
36,奶***京,PLUS会员,3,还行吧，老婆非要买这个??,2022-11-25 21:18,紫色128GB
37,****c,PLUS会员,5,"颜色真的太好看，买的时候一直纠结到底蓝色还是白色，蓝色使我更喜欢，大气，上档次，果然没失望，用起来很流畅，一点也不卡顿
外形外观：耐看、漂亮、简单
屏幕音效：干净、清晰
拍照效果：像素很高、很清楚
运行速度：快
待机时间：长、即本一天一次",2022-11-25 21:18,紫色128GB
38,安***铛,PLUS会员,5,"手感很棒，握持手感舒适，屏幕没有想象中那么差，续航还可以，很不错，白色很好看啊
外形外观：很好看
屏幕音效：很棒
拍照效果：逼真
运行速度：非常快
待机时间：很长
其他特色：不硌手",2022-11-25 21:18,紫色128GB
39,****n,PLUS会员,5,"外形外观：小巧，很薄但很有重量，非常好看
屏幕音效：屏幕的设计和色彩鲜明，满意
拍照效果：苹果拍照就是好看，挺清晰的
运行速度：拿着玩什么游戏都不卡，还有刷视频很完美
待机时间：一天一充，正常到晚上睡觉的时候充电
其他特色：很适合女生用，也不会太大，刚刚好",2022-11-25 21:18,紫色128GB
